"time","resistor.v","resistor.i","resistor.LossPower"
4.8182,35.90163638937086,3.590163638937086,128.8927495434598
4.8184,38.23669659263695,3.823669659263695,146.2044966317374
4.8186,40.35448847598054,4.035448847598054,162.8484740158046
4.8188,42.24297817900855,4.224297817900855,178.4469205432193
4.819,43.89143481517424,4.389143481517424,192.6458050134689
4.8192,45.29049129041378,4.529049129041377,205.1228601327046
4.8194,46.43219834991546,4.643219834991546,215.5949043605892
4.8196,47.31006841766902,4.731006841766902,223.8242573684524
4.8198,47.91911316795522,4.791911316795522,229.6241406803299
4.82,48.25587186192234,4.825587186192235,232.8629169154269
4.8202,48.31843114946525,4.831843114946525,233.4670788745614
4.8204,48.10643545220369,4.810643545220369,231.422913191704
4.8206,47.62108934469673,4.762108934469674,226.7768150375589
4.8208,46.8651507181431,4.68651507181431,219.6342351834269
4.821,45.84291493873527,4.584291493873527,210.1572850080117
4.8212,44.56019052325475,4.456019052325475,198.5610579468762
4.8214,43.02426624510372,4.302426624510373,185.1087485929572
4.8216,41.24386953615836,4.124386953615836,170.1056774315651
4.8218,39.22911683605879,3.922911683605879,153.8923607737152
4.822,36.99145640729197,3.699145640729197,136.8367847132582
4.8222,34.54360328279147,3.454360328279146,119.3260527758881
4.8224,31.89946649904489,3.189946649904489,101.7575962923687
4.8226,29.07407043430546,2.907407043430546,84.53015716189547
4.8228,26.08346964209166,2.608346964209166,68.03473885699172
4.823,22.94465763015238,2.294465763015238,52.64573137649097
4.8232,19.67546938973275,1.967546938973275,38.71240957063106
4.8234,16.29448103492994,1.629448103492994,26.55101121976915
4.8236,12.82090414214683,1.282090414214683,16.43755830221178
4.8238,9.274476677101452,0.9274476677101452,8.601591763409878
4.824,5.675349570514372,0.5675349570514372,3.220959274753767
4.8242,2.043973825530831,0.2043973825530831,0.4177828999455139
4.8244,-1.599016212436929,-0.1599016212436929,0.2556852847636142
4.8246,-5.232919888967096,-0.5232919888967096,2.738345056434741
4.8248,-8.837089381440306,-0.8837089381440306,7.809414873556501
4.825,-12.39104491649958,-1.239104491649959,15.35379941227102
4.8252,-15.8745920496761,-1.58745920496761,25.20026727436396
4.8254,-19.26793616325886,-1.926793616325886,37.12533639914187
4.8256,-22.55179637388069,-2.255179637388069,50.85835196889781
4.8258,-25.70751289037802,-2.570751289037802,66.08762190089521
4.826,-28.71715408110101,-2.871715408110101,82.46749385176963
4.8262,-31.56361843810621,-3.156361843810621,99.62620089063586
4.8264,-34.23073230481724,-3.423073230481724,117.1743034124058
4.8266,-36.70334039268941,-3.670334039268941,134.7135195981626
4.8268,-38.96739261880653,-3.896739261880653,151.8457687508217
4.827,-41.01002426802017,-4.101002426802017,168.1822090463603
4.8272,-42.81962898002201,-4.281962898002201,183.3520625986741
