"time","mass.a","force.f"
5.16,0.2455345420494533,0.7366036261483599
5.19,0.2455345420494533,0.7366036261483599
5.22,0.2455345420494533,0.7366036261483599
5.25,0.2455345420494533,0.7366036261483599
5.28,0.2455345420494533,0.7366036261483599
5.31,0.2455345420494533,0.7366036261483599
5.34,0.2455345420494533,0.7366036261483599
5.37,0.2455345420494533,0.7366036261483599
5.4,0.2455345420494533,0.7366036261483599
5.43,0.2455345420494533,0.7366036261483599
5.46,0.2455345420494533,0.7366036261483599
5.49,0.2455345420494533,0.7366036261483599
5.52,0.2455345420494533,0.7366036261483599
5.55,0.2455345420494533,0.7366036261483599
5.58,0.2455345420494533,0.7366036261483599
5.61,0.2455345420494533,0.7366036261483599
5.64,0.2455345420494533,0.7366036261483599
5.67,0.2455345420494533,0.7366036261483599
5.7,0.2455345420494533,0.7366036261483599
5.73,0.2455345420494533,0.7366036261483599
5.76,0.2455345420494533,0.7366036261483599
5.79,0.2455345420494533,0.7366036261483599
5.82,0.2455345420494533,0.7366036261483599
5.85,0.2455345420494533,0.7366036261483599
5.88,0.2455345420494533,0.7366036261483599
5.91,0.2455345420494533,0.7366036261483599
5.94,0.2455345420494533,0.7366036261483599
5.97,0.2455345420494533,0.7366036261483599
6,0.2455345420494533,0.7366036261483599
6,0.1297809169582395,0.3893427508747185
6.03,0.1297809169582395,0.3893427508747185
6.06,0.1297809169582395,0.3893427508747185
6.09,0.1297809169582395,0.3893427508747185
6.12,0.1297809169582395,0.3893427508747185
6.15,0.1297809169582395,0.3893427508747185
6.18,0.1297809169582395,0.3893427508747185
6.21,0.1297809169582395,0.3893427508747185
6.24,0.1297809169582395,0.3893427508747185
6.27,0.1297809169582395,0.3893427508747185
6.3,0.1297809169582395,0.3893427508747185
6.33,0.1297809169582395,0.3893427508747185
6.36,0.1297809169582395,0.3893427508747185
6.39,0.1297809169582395,0.3893427508747185
6.42,0.1297809169582395,0.3893427508747185
6.45,0.1297809169582395,0.3893427508747185
6.48,0.1297809169582395,0.3893427508747185
6.51,0.1297809169582395,0.3893427508747185
6.54,0.1297809169582395,0.3893427508747185
6.57,0.1297809169582395,0.3893427508747185
6.6,0.1297809169582395,0.3893427508747185
6.63,0.1297809169582395,0.3893427508747185
6.66,0.1297809169582395,0.3893427508747185
6.69,0.1297809169582395,0.3893427508747185
6.72,0.1297809169582395,0.3893427508747185
6.75,0.1297809169582395,0.3893427508747185
6.78,0.1297809169582395,0.3893427508747185
