Tiempo,Temperatura
320,65.94353459655449
321,66.87858112877508
322,66.1147022022259
323,67.26727685424846
324,67.58799012080306
325,67.77763559377922
326,67.09998237968554
327,65.64709596394893
328,66.1317679584646
329,66.09710572404381
330,67.46702504855057
331,66.36774946094167
332,66.2232753020152
333,67.09489080306301
334,67.1645348087369
335,66.64518916360181
336,66.8784701734535
337,67.28652872651315
338,66.70126138270003
339,67.88102395017049
340,67.33682148545768
341,67.25065461269487
342,65.82980172012724
343,66.0632616550354
344,66.89717633937197
345,67.75937971920624
346,66.72499535599596
347,66.70605140429512
348,66.77825382819542
349,67.73351844581177
350,67.69713021882032
351,66.19234486509143
352,67.84340594211729
353,67.75742983508563
354,67.39895412299114
355,66.64194566719789
356,66.87417845713045
357,66.35337441509104
358,67.02037832514736
359,67.4010839241678
360,67.76839036488832
361,67.33812031969649
362,67.2490716639877
363,67.20433352350315
364,68.63122505804877
365,67.22955422696127
366,67.39203178070515
367,68.05253137061418
368,67.32369609806614
369,68.09353193059872
370,67.274774581745
371,68.03683218573566
372,68.13415258649152
373,66.73645891877698
374,66.92350391425589
375,67.72726234590799
376,67.87614411748056
377,67.7699784638475
378,67.31926232425005
379,67.59527530084095
380,67.34755519554824
381,67.47987092635908
382,67.08316675173644
383,67.05274895891917
384,67.60279248756689
385,67.57835256375212
386,67.34357782214964
387,67.93047819495187
388,66.88363670555059
389,67.67832750588308
390,67.83762137074025
391,67.57280277963832
392,67.9797496521268
393,68.00030846139343
394,67.12662996900076
395,67.68748895451277
396,68.47982889674067
397,67.5710883384728
398,67.80103873039398
399,68.58550686376694
400,66.92024954416353
401,67.91886636669697
402,67.74413282051707
403,68.00312641275876
404,68.52580066491244
405,67.43077614872479
406,68.63093487992454
407,67.26920651089351
408,67.76571714729607
409,68.71105541355304
410,67.88474701241374
411,68.55098773681361
412,67.841203021678
413,67.57146550964218
414,67.30737421477232
415,67.6240801780497
416,68.26106213203279
417,67.94252535765891
418,68.19829634186164
419,67.97593664661981
420,67.31518423221947
421,67.83987033232114
422,68.16951526522678
423,66.90067161358556
424,67.70140937920507
425,67.91330162047618
426,68.60436894764487
427,68.22870423488934
428,67.41567549018032
429,68.58043063585971
430,68.53583778020312
431,68.45823929525214
432,67.67951454632006
433,67.88478563271448
434,68.21365910764906
435,68.5558618169654
436,68.52183039452015
437,68.00941582683129
438,67.70805467772998
439,67.1932647123964
440,66.88282847958145
441,67.54041694160301
442,68.64300528627147
443,68.4221147215838
444,68.35929915841471
445,68.25612358408816
446,68.77449075428927
447,68.16919167495183
448,68.31796572161682
449,68.91877016614539
450,67.40908134471877
451,67.33677829208747
452,67.71743277132758
453,68.51872781208596
454,68.00120869496634
455,67.95546489573401
456,68.62025638785799
457,67.90389366934365
458,68.97510945628173
459,68.51731721841952
460,68.28158786838574
461,67.92770954439182
462,68.78116665506263
463,67.77327946845553
464,68.37080047970737
465,67.45209156907347
466,67.50939802394204
467,69.14724485509984
468,67.41863617435148
469,68.42586742817805
470,67.9717404815867
471,68.88751954292873
472,68.46973265436532
473,68.64781732950625
474,68.21029513041607
475,68.136441164624
476,68.76188565574279
477,67.89453715745842
478,68.22688359732683
479,68.67984604589631
480,68.4664311191135
481,68.18395460675862
482,68.16891745386323
483,68.02272967464246
484,68.83866383170063
485,68.16911819306749
486,68.93180578829046
487,69.25394646579112
488,67.73563733398446
489,68.89470387108474
490,68.4649716318711
491,68.87660476121668
492,67.9618723310306
493,68.41203473584319
494,68.65382624114231
495,68.60866623036877
496,68.55588919983163
497,68.90640621930655
498,68.21478771609391
499,67.7152530012686
500,68.69754204563255
501,68.3307893730759
502,68.23418133922578
503,68.73882679609426
504,68.44359304999372
505,68.37716950615177
506,68.07725985890853
507,67.74180898422917
508,68.03323832573678
509,67.8766566487016
510,68.60098418876163
511,68.5313173359676
512,68.3834262389132
513,67.76191438938571
514,68.11607001690246
515,68.18719684305098
516,67.88858476196147
517,68.17328764112897
518,68.72230609854248
519,69.22117258943388
520,68.22230653399842
521,68.37772228667262
522,68.81188904957796
523,68.01367847756127
524,68.89768641962797
525,67.76889312170147
526,68.32292632650416
527,68.90298357588388
528,68.21989552797716
529,68.31820803164159
530,69.09110351571685
531,67.9049380892157
532,68.72200737764487
533,67.30355850674718
534,68.44209963269029
535,67.95937121588277
536,68.66581933196463
537,67.76615503011521
538,68.0053176207766
539,69.23733880615168
540,67.8178932887349
541,68.45350736777564
542,68.5177983766177
543,68.93884588994773
544,68.48533695779616
545,68.81484530514099
546,69.48148399475183
547,68.69828170937143
548,67.31973060002869
549,68.83658474112381
550,68.17867912172797
551,69.07616822154537
552,68.03603395276069
553,68.50271032787569
554,68.56028244976245
555,67.89269689513422
556,68.25604427235088
557,68.55670056753317
558,68.14212130581082
559,68.6422565506436
560,69.15808381230916
561,69.63312588818125
562,69.51425042442973
563,68.24750046010772
564,67.79088308346813
565,68.99643445776533
566,69.06140445402856
567,67.63092057797085
568,68.25945580227695
569,67.95284744063822
570,69.13421369346372
571,68.33058395800305
572,69.69836263356835
573,69.10139833874335
574,68.45056731434083
575,68.45821072782306
576,67.91583916255225
577,68.36842039398616
578,68.7503137669418
579,68.81125651138072
580,68.3741248281512
581,68.96497678582591
582,69.33590048575417
583,68.20576594762925
584,68.27964241273509
585,67.91707897765512
586,69.55331026941501
587,69.09738608670483
588,68.8043788651609
589,68.01126377666937
590,69.19558452608058
591,69.09995582177248
592,69.16243561893864
593,69.22284127193129
594,68.36934198099618
595,68.1831046525714
596,67.84849505482005
597,68.00695943118292
598,68.6055634915667
599,68.32692804771871
600,68.66381707578913
